2025-02-26 21:31:51,545 DEBUG   SystemMonitor:9307 [system_monitor.py:_start():183] Publishing last batch of metrics
2025-02-26 21:31:51,545 INFO    HandlerThread:9307 [interfaces.py:finish():202] Joined cpu monitor
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [interfaces.py:finish():202] Joined disk monitor
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [interfaces.py:finish():202] Joined gpuapple monitor
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [interfaces.py:finish():202] Joined memory monitor
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [interfaces.py:finish():202] Joined network monitor
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 2
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 3
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 3
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 3
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 4
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 4
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 4
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 5
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 5
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 5
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 6
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 6
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 6
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 7
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: status_report
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 7
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: status_report
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 7
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 8
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 8
2025-02-26 21:31:51,546 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 8
2025-02-26 21:31:51,546 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 9
2025-02-26 21:31:51,546 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,546 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 9
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 9
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 10
2025-02-26 21:31:51,547 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,547 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 10
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 10
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 11
2025-02-26 21:31:51,547 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,547 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 11
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 11
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 12
2025-02-26 21:31:51,547 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,547 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 12
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 12
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 13
2025-02-26 21:31:51,547 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,547 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 13
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 13
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:transition_state():614] send defer: 14
2025-02-26 21:31:51,547 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: defer
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send():379] send: final
2025-02-26 21:31:51,547 INFO    HandlerThread:9307 [handler.py:handle_request_defer():172] handle defer: 14
2025-02-26 21:31:51,547 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: defer
2025-02-26 21:31:51,547 INFO    SenderThread:9307 [sender.py:send_request_defer():610] handle sender defer: 14
2025-02-26 21:31:51,548 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: poll_exit
2025-02-26 21:31:51,548 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: poll_exit
2025-02-26 21:31:51,548 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: internal_messages
2025-02-26 21:31:51,548 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: server_info
2025-02-26 21:31:51,548 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: get_summary
2025-02-26 21:31:51,548 DEBUG   SenderThread:9307 [sender.py:send_request():406] send_request: server_info
2025-02-26 21:31:51,548 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: sampled_history
2025-02-26 21:31:51,549 DEBUG   HandlerThread:9307 [handler.py:handle_request():146] handle_request: shutdown
2025-02-26 21:31:51,549 INFO    HandlerThread:9307 [handler.py:finish():866] shutting down handler
2025-02-26 21:31:52,553 INFO    WriterThread:9307 [datastore.py:close():296] close: /Users/cpconnor/CascadeProjects/multi-platform-content-generator/wandb/offline-run-20250226_213149-gnmmj6lz/run-gnmmj6lz.wandb
2025-02-26 21:31:52,553 INFO    SenderThread:9307 [sender.py:finish():1546] shutting down sender
